,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
353,Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,298899,89,0.332,0.767,0.225,0.00349,0.128,-8.697,0.0348,81.055,3
354,Bad Habits,Bad Habits,Ed Sheeran,2021-06-25,231041,98,0.808,0.0469,0.897,3.14e-05,0.364,-3.712,0.0348,126.026,4
355,Heat Waves,Dreamland,Glass Animals,2020-08-07,238805,84,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
356,Hotel California - 2013 Remaster,Hotel California (2013 Remaster),Eagles,1976-12-08,391376,82,0.579,0.00574,0.508,0.000494,0.0575,-9.484,0.027,147.125,4
357,hope ur ok,SOUR,Olivia Rodrigo,2021-05-21,209560,84,0.443,0.388,0.298,1e-05,0.103,-12.181,0.0644,77.253,4
358,Hey There Delilah,All That We Needed,Plain White T's,2005-01-01,232533,79,0.656,0.872,0.291,0.0,0.114,-10.572,0.0293,103.971,4
359,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,224042,84,0.792,0.116,0.707,0.0,0.12,-5.218,0.0623,134.997,4
360,Hey Ya!,Speakerboxxx/The Love Below,Outkast,2003,235213,80,0.727,0.103,0.974,0.000532,0.174,-2.261,0.0664,79.526,4
361,Hats Off (feat. Travis Scott),The Voice of the Heroes,Lil Baby,2021-06-04,257428,81,0.596,0.138,0.65,0.0,0.14,-5.167,0.337,133.997,4
362,Ain't Shit,Planet Her,Doja Cat,2021-06-25,174253,90,0.855,0.506,0.488,0.0,0.347,-4.601,0.208,124.097,4
363,Heartless,808s & Heartbreak,Kanye West,2008-11-24,211000,79,0.79,0.0515,0.647,0.0,0.248,-5.983,0.136,87.999,4
364,Halley's Comet,Happier Than Ever,Billie Eilish,2021-07-30,234761,80,0.403,0.961,0.159,0.0121,0.34,-16.728,0.104,72.38,4
365,Wants and Needs (feat. Lil Baby),Scary Hours 2,Drake,2021-03-05,192956,88,0.578,0.0618,0.449,2.17e-06,0.119,-6.349,0.286,136.006,4
366,Home,Up from Below,Edward Sharpe & The Magnetic Zeros,2009-07-14,303200,69,0.542,0.292,0.589,0.000522,0.177,-6.623,0.0318,111.665,4
367,Headshot (feat. Polo G & Fivio Foreign),Destined 2 Win,Lil Tjay,2021-04-02,144349,81,0.808,0.0802,0.639,0.0,0.15,-7.266,0.279,118.0,4
368,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,2021-06-04,164441,96,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4
369,Hotel Room Service,Pitbull Starring In Rebelution,Pitbull,2009-08-31,237640,72,0.851,0.00705,0.629,0.000372,0.0746,-8.385,0.175,125.984,4
370,Heather,Kid Krow,Conan Gray,2020-03-20,198040,86,0.357,0.584,0.425,0.0,0.322,-7.301,0.0333,102.078,3
371,hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,83,0.782,0.125,0.559,0.0,0.385,-7.106,0.0767,129.992,1
372,Hold On,Kuhanje : Pop Hitovi,Various Artists,2021-08-04,170813,0,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4
373,Having Our Way (feat. Drake),Culture III,Migos,2021-06-11,278191,80,0.927,0.0312,0.538,0.0,0.0945,-3.917,0.116,125.983,4
374,Hellcats & Trackhawks,Only The Family - Lil Durk Presents: Loyal Bros,Only The Family,2021-03-05,146844,74,0.841,0.0122,0.672,0.0,0.321,-5.557,0.371,157.026,4
375,Hot N*gga,Hot N*gga,Bobby Shmurda,2014-07-25,194561,73,0.794,0.0505,0.51,1.81e-06,0.0562,-7.314,0.42,167.879,4
376,Holy Smokes,Holy Smokes (feat. Lil Uzi Vert),Trippie Redd,2021-07-16,181714,79,0.437,0.185,0.527,0.0,0.153,-6.967,0.465,187.815,4
377,Heartbreak Anthem (with David Guetta & Little Mix),Heartbreak Anthem (with David Guetta & Little Mix),Galantis,2021-05-20,183725,89,0.595,0.216,0.784,0.0,0.0608,-4.878,0.102,124.111,4
378,Hold On,Alors On Dance,Various Artists,2021-08-05,170813,0,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4
379,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,175720,84,0.598,0.0546,0.427,5.83e-06,0.21,-8.764,0.0317,76.469,4
380,Hold On,Kids Party 2021,Various Artists,2021-08-06,170813,0,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4
381,Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,2020-07-20,190534,82,0.905,0.0187,0.647,0.0,0.282,-5.065,0.107,130.97,4
382,Hold On,New Normal Parade,Various Artists,2021-07-23,170813,1,0.658,0.0106,0.634,0.0,0.132,-5.797,0.0413,139.98,4
383,HUMBLE.,DAMN.,Kendrick Lamar,2017-04-14,177000,81,0.908,0.000282,0.621,5.39e-05,0.0958,-6.638,0.102,150.011,4
384,HOT WIND BLOWS (feat. Lil Wayne),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,155292,78,0.371,0.601,0.75,0.0,0.482,-5.382,0.402,173.456,4
385,Fancy Like,Country Stuff,Walker Hayes,2021-06-04,161853,82,0.649,0.114,0.76,0.0,0.317,-6.487,0.0574,80.018,4
386,Hex,Hex,80purppp,2018-03-12,122221,78,0.845,0.872,0.398,0.00713,0.159,-15.781,0.268,109.996,4
387,Hope,?,XXXTENTACION,2018-03-16,110886,83,0.592,0.661,0.457,0.000331,0.146,-6.081,0.0603,146.04,4
388,You Right,Planet Her,Doja Cat,2021-06-25,186173,89,0.828,0.0164,0.621,0.00233,0.0845,-6.414,0.0565,128.986,4
389,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)",Train,2010-12-01,216773,82,0.673,0.185,0.886,0.0,0.0826,-4.44,0.0431,97.012,4
390,HOLIDAY,HOLIDAY,Lil Nas X,2020-11-13,154997,83,0.81,0.12,0.511,0.0,0.0832,-6.924,0.164,151.947,4
391,Washing Machine Heart,Be the Cowboy,Mitski,2018-08-17,128198,82,0.617,0.00999,0.821,0.494,0.426,-4.085,0.026,106.0,4
392,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,92,0.514,0.00146,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,4
393,Happier,"Ciao, Adios! Break up Songs",Various Artists,2021-08-06,207520,0,0.521,0.536,0.385,0.0,0.135,-7.355,0.0288,89.892,4
394,The Hills,Beauty Behind The Madness,The Weeknd,2015-08-28,242253,84,0.585,0.0671,0.564,0.0,0.135,-7.063,0.0515,113.003,4
395,Hate The Other Side (with Marshmello & The Kid Laroi),Legends Never Die,Juice WRLD,2020-07-10,160212,78,0.701,0.291,0.65,0.0,0.112,-6.313,0.104,90.003,4
396,Hayloft,O My Heart,Mother Mother,2008-09-23,181680,81,0.527,0.00475,0.922,0.000162,0.422,-2.666,0.0728,95.975,4
397,Heat Waves,Heat Waves,Glass Animals,2020-06-29,238805,82,0.761,0.44,0.525,6.7e-06,0.0921,-6.9,0.0944,80.87,4
398,Homesick,Dinner with Friends,Various Artists,2021-08-06,230480,0,0.431,0.948,0.224,0.0,0.112,-8.683,0.0379,87.122,5
399,2055,Still Sleep?,Sleepy Hallow,2021-06-02,123986,83,0.829,0.492,0.512,0.0,0.12,-5.865,0.187,80.511,4
400,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,212000,94,0.736,0.0203,0.704,0.0,0.0501,-7.409,0.0615,149.995,4
401,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,2021-03-19,173346,95,0.75,0.00165,0.608,0.0,0.178,-4.008,0.0387,132.507,4
402,Ball If I Want To,Ball If I Want To,DaBaby,2021-06-18,112546,84,0.902,0.161,0.669,0.0,0.0728,-5.049,0.457,139.949,4
403,I Don't Fuck With You,Dark Sky Paradise,Big Sean,2015-02-24,284386,74,0.824,0.0362,0.733,0.0,0.325,-5.474,0.0613,97.972,4
404,I Like It,Dance Monkey - 10's All Out,Various Artists,2021-08-06,253390,0,0.815,0.101,0.727,0.0,0.372,-3.998,0.128,136.045,4
405,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2021-01-06,132780,90,0.778,0.175,0.695,0.0,0.15,-6.865,0.0913,149.996,4
406,Iris,Dizzy up the Girl,The Goo Goo Dolls,1998-09-11,289533,78,0.315,0.00125,0.715,7.97e-06,0.0942,-8.072,0.0362,155.925,3
407,I Didn't Change My Number,Happier Than Ever,Billie Eilish,2021-07-30,158463,81,0.849,0.612,0.48,0.269,0.295,-5.835,0.226,142.021,4
408,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,121572,85,0.493,0.269,0.653,0.0,0.511,-5.666,0.0466,142.347,4
409,I Quit Drinking,I Quit Drinking,Kelsea Ballerini,2021-06-09,171200,80,0.607,0.394,0.418,0.0,0.182,-6.997,0.0363,95.002,4
410,iSpy (feat. Lil Yachty),iSpy (feat. Lil Yachty),KYLE,2016-12-02,253106,73,0.746,0.378,0.653,0.0,0.229,-6.745,0.289,75.016,4
411,I Can't Handle Change,I Can't Handle Change,Roar,2010-03-14,198213,81,0.247,0.0455,0.438,0.000871,0.111,-8.479,0.0358,185.716,3
412,I Hear a Symphony,Flying,Cody Fry,2017-10-06,185176,76,0.207,0.925,0.243,0.0342,0.118,-8.181,0.0306,171.648,4
413,I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,223346,80,0.556,0.0689,0.538,0.0,0.196,-5.408,0.0382,143.95,4
414,Mood (feat. iann dior),El Dorado,24kGoldn,2021-03-26,140533,89,0.701,0.174,0.716,0.0,0.324,-3.671,0.0361,91.007,4
415,Imma Be,THE E.N.D. (THE ENERGY NEVER DIES),Black Eyed Peas,2009-01-01,257560,66,0.597,0.179,0.517,0.0,0.307,-6.963,0.365,92.035,4
416,I DON'T KNOW,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,134302,69,0.53,0.0319,0.673,0.0,0.148,-6.851,0.0584,160.886,4
417,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,83,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
418,It Was A Good Day,The Predator,Ice Cube,1992-11-17,260000,77,0.798,0.33,0.744,0.000106,0.292,-5.328,0.136,82.356,4
419,If I Didn't Love You,If I Didn't Love You,Jason Aldean,2021-07-23,212030,75,0.456,0.176,0.679,0.0,0.103,-4.802,0.0324,184.075,4
420,p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,2021-05-14,218210,82,0.861,0.104,0.656,0.0,0.0986,-7.867,0.425,88.967,4
421,Island In The Sun,Weezer (Green Album),Weezer,2001-05-15,200306,78,0.654,0.00719,0.81,0.00251,0.165,-6.26,0.0288,114.623,4
422,I Don't Do Drugs (feat. Ariana Grande),Planet Her,Doja Cat,2021-06-25,188893,80,0.683,0.222,0.615,8.25e-06,0.154,-5.737,0.0966,77.014,4
423,Daddy Issues,Wiped Out!,The Neighbourhood,2015-10-30,260173,85,0.588,0.0678,0.521,0.149,0.123,-9.461,0.0329,85.012,4
424,Into The Thick Of It!,The Backyardigans,The Backyardigans,2005-07-12,158853,69,0.703,0.825,0.0828,1.24e-05,0.13,-14.178,0.139,125.879,4
425,I Don't Care - Acoustic,Acoustic Chill,Various Artists,2021-08-06,238220,0,0.705,0.793,0.35,0.0,0.108,-8.126,0.0301,94.059,4
426,Bezos I,Inside (The Songs),Bo Burnham,2021-06-10,58149,84,0.694,0.00936,0.948,1.62e-05,0.139,-5.307,0.0361,115.044,4
427,I Hope,Goldmine,Gabby Barrett,2020-06-19,210772,76,0.466,0.0951,0.536,0.0,0.114,-6.227,0.0429,75.998,4
428,I Write Sins Not Tragedies,A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27,186634,74,0.569,0.0807,0.83,0.0,0.114,-4.106,0.14,170.094,4
429,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,218801,83,0.597,0.0622,0.587,0.0,0.214,-7.026,0.137,140.021,4
430,Intentions,pov: he brings you breakfast in bed,Various Artists,2021-08-04,212868,3,0.813,0.315,0.554,0.0,0.105,-6.631,0.0544,148.011,4
431,In Da Club,Get Rich Or Die Tryin',50 Cent,2003-02-06,193466,71,0.902,0.26,0.72,0.0,0.0749,-2.776,0.347,90.059,4
432,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,Machine Gun Kelly,2019-07-05,169397,78,0.628,0.0257,0.744,0.0,0.313,-4.718,0.0379,119.921,4
433,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,224042,84,0.792,0.116,0.707,0.0,0.12,-5.218,0.0623,134.997,4
434,I Want It That Way,Millennium,Backstreet Boys,1999-05-18,213306,78,0.689,0.257,0.694,0.0,0.148,-5.83,0.027,99.039,4
435,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,82,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,4
436,Welcome to the Internet,Inside (The Songs),Bo Burnham,2021-06-10,275999,81,0.665,0.663,0.527,0.0,0.306,-8.588,0.429,94.711,3
437,i n t e r l u d e,The Off-Season,J. Cole,2021-05-14,133021,77,0.77,0.0617,0.574,0.0,0.104,-5.525,0.106,98.962,3
438,When It Rains It Pours,This One's for You,Luke Combs,2017-06-02,240760,77,0.551,0.013,0.801,6.03e-06,0.265,-5.069,0.0303,128.027,4
439,I WISH,F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,125571,56,0.788,0.0375,0.656,0.0,0.127,-6.974,0.047,138.981,4
440,Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,87,0.612,0.0495,0.807,0.0177,0.101,-2.81,0.0336,124.053,4
441,SLOW DANCING IN THE DARK,BALLADS 1,Joji,2018-10-26,209273,82,0.515,0.544,0.479,0.00598,0.191,-7.458,0.0261,88.964,4
442,I Wanna Dance with Somebody (Who Loves Me),Whitney,Whitney Houston,1987-06-02,291293,81,0.709,0.207,0.824,0.000307,0.0888,-8.824,0.0453,118.818,4
443,Santa Claus Is Coming To Town,Kid Friendly Christmas,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
444,Invincible,Summer Hiphop,Various Artists,2021-08-06,127546,0,0.548,0.125,0.732,0.0,0.269,-5.652,0.336,142.791,4
445,Santa Claus Is Coming To Town,Kids Pop Christmas,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
446,I Like It,Invasion of Privacy,Cardi B,2018-04-06,253390,80,0.816,0.099,0.726,0.0,0.372,-3.998,0.129,136.048,4
447,Santa Claus Is Coming To Town,Christmas Songs For Kids,Various Artists,2021-08-06,216720,0,0.639,0.027,0.836,0.0,0.283,-4.878,0.048,104.998,4
448,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,82,0.752,0.535,0.505,2.55e-06,0.104,-7.621,0.253,91.97,4
449,Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,2021-04-02,232048,81,0.88,0.415,0.575,0.0,0.109,-6.091,0.163,120.031,4
450,"jealousy, jealousy",SOUR,Olivia Rodrigo,2021-05-21,173160,90,0.695,0.198,0.575,0.0,0.0614,-6.334,0.116,163.929,4
451,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,98,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
452,JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams),CALL ME IF YOU GET LOST,"Tyler, The Creator",2021-06-25,146419,80,0.827,0.0195,0.571,0.0,0.166,-7.949,0.366,142.034,4
453,INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,212000,94,0.736,0.0203,0.704,0.0,0.0501,-7.409,0.0615,149.995,4
454,Just the Two of Us (feat. Bill Withers),Anthology,"Grover Washington, Jr.",1985,237106,78,0.802,0.572,0.488,0.0598,0.0763,-9.304,0.0813,95.77,4
455,Jocelyn Flores,17,XXXTENTACION,2017-08-25,119133,84,0.872,0.469,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4
456,Just the Way You Are,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,220733,80,0.637,0.0151,0.843,0.0,0.0876,-5.413,0.0432,109.012,4
457,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,198081,95,0.677,0.321,0.696,0.0,0.42,-6.181,0.119,90.03,4
458,July,THE END OF EVERYTHING,Noah Cyrus,2020-05-15,156106,81,0.708,0.868,0.186,0.0,0.0779,-8.953,0.042,72.541,4
459,Leave Before You Love Me (with Jonas Brothers),Leave Before You Love Me,Marshmello,2021-05-21,154983,89,0.721,0.00226,0.738,4.41e-06,0.118,-4.77,0.0403,119.976,4
460,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,141805,84,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
461,Jealous,Let's Skip to the Wedding,Eyedress,2020-08-07,122338,79,0.474,0.00498,0.91,0.859,0.476,-10.431,0.0462,93.01,4
462,Jack & Diane,American Fool,John Mellencamp,1982,254493,75,0.811,0.0365,0.41,6.63e-06,0.0799,-8.214,0.0391,103.965,4
463,Je te laisserai des mots,Je te laisserai des mots,Patrick Watson,2010-09-10,160853,80,0.303,0.989,0.187,0.489,0.101,-16.757,0.0356,132.731,4
464,Godzilla (feat. Juice WRLD),Music To Be Murdered By,Eminem,2020-01-17,210800,83,0.808,0.145,0.745,0.0,0.292,-5.26,0.342,165.995,4
465,Japanese Denim,Get You - Single,Daniel Caesar,2016-10-21,270846,76,0.707,0.0905,0.238,2.42e-06,0.0842,-8.818,0.0379,124.156,3
466,Jessie's Girl,Working Class Dog,Rick Springfield,1981,194120,71,0.727,0.165,0.834,0.0,0.105,-5.851,0.0496,131.7,4
467,Beautiful Mistakes (feat. Megan Thee Stallion),JORDI (Deluxe),Maroon 5,2021-06-11,227395,88,0.713,0.0377,0.676,0.0,0.154,-5.483,0.027,99.048,4
468,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,82,0.654,0.153,0.63,0.0,0.111,-4.644,0.0259,89.991,4
469,GO (feat. Juice WRLD),F*CK LOVE,The Kid LAROI,2020-07-24,181688,78,0.487,0.157,0.74,0.0,0.612,-4.973,0.0944,73.779,4
470,Just Dance,The Fame,Lady Gaga,2008-01-01,241933,71,0.822,0.0264,0.739,4.26e-05,0.181,-4.541,0.0311,118.992,4
471,Jump - 2015 Remaster,1984 (Remastered),Van Halen,1984-01-04,241599,78,0.572,0.171,0.835,0.000377,0.0702,-6.219,0.0317,129.981,4
472,The Jackie (with J. Cole & Lil Tjay),The Jackie (with J. Cole & Lil Tjay),Bas,2021-07-09,204434,77,0.784,0.333,0.474,0.0,0.278,-6.139,0.0524,128.012,4
473,Just Give Me a Reason (feat. Nate Ruess),The Truth About Love,P!nk,2012-09-18,242733,80,0.778,0.346,0.547,0.000302,0.132,-7.273,0.0489,95.002,4
474,Ms. Jackson,Stankonia,Outkast,2000-10-31,270506,80,0.843,0.143,0.806,0.0,0.0771,-5.946,0.269,94.948,4
475,JUST LIKE YOU,CLOUDS (THE MIXTAPE),NF,2021-03-26,251236,74,0.775,0.489,0.757,0.0,0.28,-4.607,0.228,140.044,4
476,STAY (with Justin Bieber),F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,141805,65,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
477,Juice,Cuz I Love You,Lizzo,2019-04-19,195144,76,0.767,0.00611,0.889,0.0,0.402,-2.988,0.0963,119.93,4
478,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),Usher,2004-03-23,250373,81,0.894,0.0183,0.791,0.0,0.0388,-4.699,0.112,105.018,4
479,Just the Way,Just the Way,Parmalee,2019-12-13,193880,71,0.544,0.107,0.829,0.0,0.317,-2.84,0.0404,90.048,4
480,Juicy - 2005 Remaster,Ready to Die (The Remaster),The Notorious B.I.G.,1994-09-13,302760,75,0.889,0.47,0.818,0.0,0.179,-4.639,0.253,96.063,4
481,GO (feat. Juice WRLD),F*CK LOVE 3: OVER YOU,The Kid LAROI,2021-07-23,181688,60,0.487,0.157,0.74,0.0,0.612,-4.973,0.0944,73.779,4
482,Juliet,Animal Kingdom,Cavetown,2019-04-12,278991,73,0.546,0.00346,0.586,0.00114,0.0562,-8.488,0.0313,131.778,4
483,Flex (feat. Juice WRLD),THE GOAT,Polo G,2020-05-15,163902,76,0.752,0.0538,0.673,0.0,0.133,-5.792,0.153,164.009,4
484,JETSKI (feat. Lil Mosey & Lil Tecca),JETSKI (feat. Lil Mosey & Lil Tecca),Internet Money,2021-03-26,165161,74,0.883,0.0253,0.446,0.0,0.103,-8.723,0.296,92.95,4
485,The Joker,The Joker,Steve Miller Band,1973-01-01,264503,76,0.596,0.365,0.448,5.3e-06,0.206,-9.616,0.0396,83.293,4
486,Jugaste y Sufrí,Corta Venas,Eslabon Armado,2020-12-18,275194,71,0.39,0.632,0.499,0.000497,0.115,-7.778,0.0381,200.156,1
487,Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,1982-11-30,293826,83,0.92,0.0236,0.654,0.0158,0.0359,-3.051,0.0401,117.046,4
488,Jubilee Line,Your City Gave Me Asthma,Wilbur Soot,2020-06-25,186309,73,0.412,0.967,0.254,0.00408,0.105,-14.713,0.0481,149.899,4
489,GO (feat. Juice WRLD),F*CK LOVE 3+: OVER YOU,The Kid LAROI,2021-07-27,181688,56,0.487,0.157,0.74,0.0,0.612,-4.973,0.0944,73.779,4
490,Jealous,Jealous - EP,Labrinth,2014-11-23,287693,77,0.439,0.874,0.153,0.0,0.107,-8.95,0.0479,116.76,3
491,If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,82,0.464,0.866,0.473,0.0,0.109,-10.086,0.129,75.801,4
492,Josslyn,Josslyn,Olivia O'Brien,2020-05-15,189125,72,0.425,0.012,0.743,0.0,0.709,-5.54,0.148,84.748,4
493,m y . l i f e (with 21 Savage & Morray),The Off-Season,J. Cole,2021-05-14,218801,83,0.597,0.0622,0.587,0.0,0.214,-7.026,0.137,140.021,4
494,Jumpman,What A Time To Be Alive,Drake,2015-09-20,205879,72,0.852,0.0559,0.553,0.0,0.332,-7.286,0.187,142.079,4
495,Knee Deep (feat. Jimmy Buffett),You Get What You Give (Deluxe),Zac Brown Band,2010-09-20,203173,74,0.715,0.432,0.584,1.41e-06,0.095,-8.231,0.0296,90.99,4
496,Jungle,Artist,A Boogie Wit da Hoodie,2016-09-16,174192,70,0.538,0.308,0.52,0.0,0.214,-11.063,0.737,180.274,4
497,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",Shakira,2005-11-28,218093,82,0.778,0.284,0.824,0.0,0.405,-5.892,0.0707,100.024,4
498,Mr. Jones (feat. Future),Faith (Deluxe),Pop Smoke,2021-07-31,214925,48,0.795,0.275,0.582,0.0,0.239,-7.365,0.054,134.055,4
499,July (feat. Leon Bridges),July (feat. Leon Bridges),Noah Cyrus,2019-11-08,152280,73,0.708,0.853,0.211,0.0,0.131,-9.603,0.0424,72.5,4
500,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,208866,95,0.762,0.235,0.701,0.000158,0.123,-3.541,0.0286,110.968,4
501,Knock Knock,Angelic 7,SoFaygo,2020-01-10,139728,81,0.669,0.0485,0.629,0.0,0.346,-6.032,0.0657,125.935,4
502,STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,141805,98,0.591,0.0383,0.764,0.0,0.103,-5.484,0.0483,169.928,4
503,Kryptonite,The Better Life,3 Doors Down,2000,233933,78,0.545,0.00664,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,4
504,Need To Know,Planet Her,Doja Cat,2021-06-25,210560,87,0.664,0.304,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
505,Knee Deep (feat. Jimmy Buffett),You Get What You Give (Deluxe),Zac Brown Band,2010-09-20,203173,74,0.715,0.432,0.584,1.41e-06,0.095,-8.231,0.0296,90.99,4
506,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,$uicideboy$,2015-09-21,145078,77,0.753,0.326,0.68,4.15e-05,0.423,-7.092,0.0349,105.977,4
507,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,2021-04-30,236524,83,0.477,0.000866,0.727,0.0,0.108,-4.053,0.286,150.062,4
508,Kilby Girl,When We Were Friends,The Backseat Lovers,2019-01-27,282205,74,0.329,0.0578,0.444,0.0352,0.113,-9.973,0.0417,162.279,4
509,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,85,0.709,0.65,0.548,1.59e-06,0.133,-8.493,0.353,83.995,4
510,Kings & Queens,Heaven & Hell,Ava Max,2020-09-18,162398,82,0.637,0.00786,0.69,0.0,0.124,-4.057,0.0405,129.857,4
511,Need To Know,Need To Know,Doja Cat,2021-06-11,210560,82,0.664,0.304,0.609,0.0,0.0926,-6.509,0.0707,130.041,4
512,Kiss Me Thru The Phone,iSouljaBoyTellem,Soulja Boy,2008-01-01,193386,76,0.758,0.0185,0.712,0.0,0.0677,-3.781,0.112,149.998,4
513,lovely (with Khalid),lovely (with Khalid),Billie Eilish,2018-04-19,200185,86,0.351,0.934,0.296,0.0,0.095,-10.109,0.0333,115.284,4
514,Kickstart My Heart,Dr. Feelgood,Mötley Crüe,1989,282653,76,0.359,0.00125,0.981,0.00236,0.284,-3.622,0.303,178.98,4
515,Kiss Me More (feat. SZA),Planet Her,Doja Cat,2021-06-25,208666,86,0.764,0.259,0.705,8.92e-05,0.12,-3.463,0.0284,110.97,4
516,Killer (feat. Jack Harlow & Cordae) - Remix,Killer (feat. Jack Harlow & Cordae) [Remix],Eminem,2021-05-28,236665,76,0.924,0.0525,0.73,0.0,0.113,-6.125,0.274,99.01,4
517,The Less I Know The Better,Currents,Tame Impala,2015-07-17,216320,83,0.64,0.0115,0.74,0.00678,0.167,-4.083,0.0284,116.879,4
518,Kids,Oracular Spectacular,MGMT,2007-12-14,302840,78,0.451,0.00076,0.931,0.0049,0.361,-3.871,0.0719,122.961,4
519,No Return (with The Kid LAROI & Lil Durk),Hall of Fame,Polo G,2021-06-11,168728,80,0.479,0.135,0.645,0.0,0.0825,-7.336,0.302,155.057,4
520,Killing In The Name,Rage Against The Machine - XX (20th Anniversary Special Edition),Rage Against The Machine,1992,313573,77,0.466,0.0266,0.833,0.0,0.0327,-4.215,0.304,88.785,4
521,telepatía,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2020-12-04,160191,88,0.653,0.112,0.524,0.0,0.203,-9.016,0.0502,83.97,4
522,Kids,Kids,Current Joys,2016-10-17,269142,74,0.827,0.508,0.66,0.403,0.0756,-9.669,0.0337,113.449,4
